main_camera,secondary_camera,beta,inlier_ratio,num_inliers
3,0,320.2400,0.8568,2361
2,0,1321.2500,0.9479,2303
1,0,712.7600,0.8757,1408
2,1,124.6600,0.9043,3426
1,3,329.7600,0.7975,2588
0,1,-717.3200,0.8984,1398
2,3,680.0000,0.9957,3701
0,3,-383.9500,0.8623,1961
3,1,-277.8600,0.8914,3094
1,2,-74.1700,0.8811,5729
3,2,-340.2700,0.9893,7403
0,2,-791.8400,0.9200,3825
