main_camera,secondary_camera,beta,inlier_ratio,num_inliers
0,3,-602.1900,0.8403,5869
0,1,-2019.4900,0.3110,7596
0,2,-1103.3100,0.5391,9523
1,3,710.3800,0.4633,5144
0,4,-1922.5200,0.8620,11536
0,5,-164.1100,0.8284,12374
1,2,470.3900,0.3241,5872
1,4,49.4200,0.4107,6004
1,5,935.4600,0.3961,8248
2,3,249.1400,0.9366,4387
2,1,-455.0100,0.3617,5902
3,1,-592.0000,0.4545,6174
2,4,-405.9000,0.7642,7235
2,5,465.6600,0.7982,8693
3,2,-209.6700,0.9225,5198
4,1,-48.7700,0.3735,6024
3,4,-550.5800,0.9786,5036
4,3,659.9200,0.9881,4212
1,0,1011.6000,0.3245,15120
3,5,182.0900,0.9196,6570
4,2,409.0600,0.7550,7205
4,5,878.4800,0.9932,9848
5,3,-364.4300,0.9534,3282
5,1,-1547.5100,0.3892,4923
4,0,960.7200,0.9010,23037
5,2,-783.6200,0.8051,5173
3,0,250.8000,0.8318,13973
2,0,547.2300,0.5213,19113
5,4,-1465.6000,0.9952,5892
5,0,136.9400,0.8771,14805
