main_camera,secondary_camera,beta,inlier_ratio,num_inliers
2,1,1682.1000,0.9570,93
2,0,-964.3000,0.9299,1512
3,0,-68.1200,0.9036,2644
2,3,-827.7400,0.9975,1967
1,0,-15.5400,0.8096,1954
1,2,-1011.5000,0.9610,154
1,3,65.2200,0.8533,2482
0,1,14.8000,0.8637,1937
3,1,-54.7500,0.8422,2965
0,3,81.5900,0.8794,2198
0,2,578.4300,0.9251,2509
3,2,414.6900,0.9865,3937
